Variable,Classification,Codelpa,Marleycoffee,Prisa,New-Soprole
blockedClientAlert.blockedClientAlertHtmlContent,dead,—,—,—,∆
blockedClientAlert.enableBlockedClientAlert,backend-only,—,—,—,✓
businessUnits,dead,—,∆,∆,—
confirmCartText,dead,—,—,—,∆
disableCart,dead,—,—,—,—
disableCommerceEdit,backend-only,✓,—,—,—
disablePayments,dead,—,—,—,—
disableShowEstimatedDeliveryHour,dead,—,—,—,—
disableSyncDate,dead,—,—,—,—
disableWrongPrices,backend-only,—,—,—,✓
discountTypes.discountTypesList,dead,—,∆,∆,—
discountTypes.enableOrderDiscountType,dead,—,—,—,—
discountTypes.enableProductDiscountType,dead,—,—,—,—
editAddress,backend-only,—,✓,✓,—
enableAskDeliveryDate,dead,—,—,—,—
enableBetaButtons,backend-only,—,—,—,✓
enableChooseSaleUnit,backend-only,—,—,✓,✓
enableCoupons,backend-only,—,✓,✓,✓
enableCreditNotes,dead,—,—,—,—
enableDialogNoSellReason,dead,—,—,—,—
enableMassiveOrderSend,backend-only,✓,—,—,—
enableNewUI,dead,—,—,—,—
enableOrderApproval,backend-only,✓,—,✓,—
enableOrderValidation,backend-only,✓,—,—,—
enablePayments,backend-only,—,—,—,✓
enablePaymentsCollection,backend-only,—,—,—,✓
enableSellerDiscount,backend-only,✓,—,✓,✓
enableTask,backend-only,✓,—,—,✓
filterGroupedSuggestionsBy,dead,—,∆,∆,—
footerCustomContent.useFooterCustomContent,backend-only,—,—,—,✓
hasAllDistributionCenters,backend-only,✓,—,—,—
hasMultipleBusinessUnit,dead,—,—,—,—
hasNoSaleFilter,backend-only,✓,—,✓,—
hasSingleDistributionCenter,backend-only,—,✓,✓,✓
hasStockEnabled,backend-only,✓,—,✓,✓
hasTransferPaymentType,dead,—,—,—,—
hasTransportCode,dead,—,—,—,—
hasVoucherPrinterEnabled,dead,—,—,—,—
hidePrices,dead,—,—,—,—
hideReceiptType,backend-only,✓,—,—,✓
includeTaxRateInPrices,backend-only,—,✓,✓,—
lazyLoadingPrices,dead,—,—,—,—
limitAddingByStock,backend-only,—,—,✓,—
ordersRequireAuthorization,dead,—,—,—,—
ordersRequireVerification,dead,—,—,—,—
packagingInformation.hidePackagingInformationB2B,backend-only,—,✓,✓,—
packagingInformation.hideSingleItemPackagingInformationB2B,backend-only,✓,✓,✓,—
packagingInformation.ignoreUnitOnPackInformationB2B,dead,—,—,—,—
payment.balances,dead,—,∆,∆,∆
payment.enableNewPaymentModule,backend-only,✓,—,—,✓
payment.requiresFullPayment,backend-only,—,—,—,✓
payment.walletEnabled,backend-only,—,—,—,✓
paymentsWithoutAccount,dead,—,—,—,—
pendingDocuments,backend-only,✓,—,—,—
pointsEnabled,dead,—,—,—,—
priceRoundingDecimals,dead,—,∆,∆,∆
purchaseOrderEnabled,backend-only,✓,—,—,—
shareOrderNewDesign,dead,—,—,—,—
shoppingDetail.lastOrder,backend-only,✓,—,—,✓
showMinOne,backend-only,—,—,—,✓
suggestions.enableSortingByCategories,backend-only,✓,—,—,—
synchronization.backgroundSyncList,dead,—,∆,∆,—
synchronization.enableBackgroundSendOrders,dead,—,—,—,—
synchronization.enableBackgroundSync,dead,—,—,—,—
synchronization.enableSyncImages,dead,—,—,—,—
taxes.showSummary,backend-only,✓,—,—,✓
taxes.taxRate,dead,∆,∆,∆,∆
uploadOrderFileWithMinUnits,dead,—,—,—,—
useMobileGps,backend-only,✓,—,—,—
useNewPromotions,backend-only,✓,—,✓,✓
validatePaymentFromAdmin,dead,—,—,—,—
weightInfo,dead,—,—,—,—
wrongPrices.block,dead,—,—,—,—
wrongPrices.threshold,dead,—,—,—,∆
